id,full_name,gender,part_time_job,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,average_score
1,George Short,male,True,34.0,95.0,95.0,82.0,63.0,84.0,70.0,85.0,86.67
2,Stanley Gutierrez,male,False,25.0,94.0,68.0,94.0,85.0,81.0,74.0,72.0,78.67
3,Audrey Simpson,female,False,18.0,98.0,69.0,88.0,71.0,67.0,71.0,73.0,79.33
4,Gabrielle White,female,False,7.0,65.0,60.0,97.0,94.0,71.0,81.0,66.0,68.67
5,Clinton Randolph,male,False,7.0,80.0,61.0,100.0,65.0,87.0,64.0,61.0,68.33
6,Patricia Gomez,female,True,4.0,94.0,59.0,69.0,67.0,89.0,65.0,73.0,72.67
7,Pamela Jackson,female,False,2.0,66.0,94.0,86.0,100.0,57.0,90.0,63.0,83.33
8,Laura Jackson,female,False,39.0,96.0,90.0,86.0,92.0,92.0,95.0,87.0,93.67
9,Roger Wiley,male,False,0.0,94.0,50.0,78.0,64.0,79.0,74.0,84.0,72.67
10,Vicki Thompson,female,False,30.0,92.0,64.0,93.0,91.0,80.0,89.0,72.0,81.67
11,Maxwell Davidson,male,False,28.0,86.0,83.0,85.0,79.0,93.0,76.0,77.0,81.67
12,Jonathan Werner,male,False,37.0,92.0,87.0,92.0,99.0,97.0,87.0,86.0,88.67
13,Angela Rios,female,False,27.0,99.0,65.0,98.0,75.0,66.0,72.0,100.0,78.67
14,Tim Nichols,male,True,15.0,100.0,90.0,72.0,98.0,73.0,97.0,72.0,95.67
15,Kyle Willis,male,False,4.0,57.0,55.0,78.0,94.0,83.0,88.0,88.0,66.67
16,Shannon Simpson,female,False,2.0,89.0,72.0,68.0,72.0,71.0,54.0,90.0,71.67
17,Sean Griffin,male,False,1.0,50.0,76.0,81.0,55.0,56.0,80.0,79.0,68.67
18,Cassandra West,female,False,35.0,87.0,91.0,90.0,88.0,95.0,88.0,93.0,88.67
